age_dummies,age_group
76718.555,25-30
89883.234,30-35
100739.33,35-40
107869.91,40-45
110210.2,45-50
107300.83,50-55
99422.148,55-60
87559.211,60-65
65604.68,65-70
65604.68,70-75
