age_group,deterministic_component_2
25,142486.5046029463
30,156522.5565718978
35,172617.0835431188
40,176039.7539607765
45,166617.0855524829
50,137624.8277266537
55,85674.57864066953
60,74733.5327350755
65,24490.56828291278
70,3515.963952782653
