age_dummies,age_group
99031.242,25-30
128315.72,30-35
156955.23,35-40
180406.61,40-45
193956.38,45-50
194145.47,50-55
180102.95,55-60
154129.19,60-65
104062.68,65-70
104062.68,70-75
